location,count,crime_type
Patna,507.0,accident
Pune,62.0,accident
Rajkot,163.0,accident
Surat,240.0,accident
Thrissur,134.0,accident
Vadodra,164.0,accident
Varanasi,73.0,accident
Visakhapatnam,410.0,accident
Total,12025.0,accident
Andhra Pradesh,2001.0,general
Andhra Pradesh,2001.0,general
Andhra Pradesh,2001.0,general
Andhra Pradesh,2001.0,general
Andhra Pradesh,2001.0,general
Andhra Pradesh,2001.0,general
Andhra Pradesh,2001.0,general
Andhra Pradesh,2001.0,general
Andhra Pradesh,2001.0,general
Andhra Pradesh,2001.0,general
Andhra Pradesh,2001.0,general
Andhra Pradesh,2001.0,general
Andhra Pradesh,2002.0,general
Andhra Pradesh,2002.0,general
Andhra Pradesh,2002.0,general
Andhra Pradesh,2002.0,general
Andhra Pradesh,2002.0,general
Andhra Pradesh,2002.0,general
Andhra Pradesh,2002.0,general
Andhra Pradesh,2002.0,general
Andhra Pradesh,2002.0,general
Andhra Pradesh,2002.0,general
Andhra Pradesh,2002.0,general
Andhra Pradesh,2002.0,general
Andhra Pradesh,2003.0,general
Andhra Pradesh,2003.0,general
Andhra Pradesh,2003.0,general
Andhra Pradesh,2003.0,general
Andhra Pradesh,2003.0,general
Andhra Pradesh,2003.0,general
Andhra Pradesh,2003.0,general
Andhra Pradesh,2003.0,general
Andhra Pradesh,2003.0,general
Andhra Pradesh,2003.0,general
Andhra Pradesh,2003.0,general
Andhra Pradesh,2003.0,general
Andhra Pradesh,2004.0,general
Andhra Pradesh,2004.0,general
Andhra Pradesh,2004.0,general
Andhra Pradesh,2004.0,general
Andhra Pradesh,2004.0,general
Andhra Pradesh,2004.0,general
Andhra Pradesh,2004.0,general
Andhra Pradesh,2004.0,general
Andhra Pradesh,2004.0,general
Andhra Pradesh,2004.0,general
Andhra Pradesh,2004.0,general
Andhra Pradesh,2004.0,general
Andhra Pradesh,2005.0,general
Andhra Pradesh,2005.0,general
Andhra Pradesh,2005.0,general
Andhra Pradesh,2005.0,general
Andhra Pradesh,2005.0,general
Andhra Pradesh,2005.0,general
Andhra Pradesh,2005.0,general
Andhra Pradesh,2005.0,general
Andhra Pradesh,2005.0,general
Andhra Pradesh,2005.0,general
Andhra Pradesh,2005.0,general
Andhra Pradesh,2005.0,general
Andhra Pradesh,2006.0,general
Andhra Pradesh,2006.0,general
Andhra Pradesh,2006.0,general
Andhra Pradesh,2006.0,general
Andhra Pradesh,2006.0,general
Andhra Pradesh,2006.0,general
Andhra Pradesh,2006.0,general
Andhra Pradesh,2006.0,general
Andhra Pradesh,2006.0,general
Andhra Pradesh,2006.0,general
Andhra Pradesh,2006.0,general
Andhra Pradesh,2006.0,general
Andhra Pradesh,2007.0,general
Andhra Pradesh,2007.0,general
Andhra Pradesh,2007.0,general
Andhra Pradesh,2007.0,general
Andhra Pradesh,2007.0,general
Andhra Pradesh,2007.0,general
Andhra Pradesh,2007.0,general
Andhra Pradesh,2007.0,general
Andhra Pradesh,2007.0,general
Andhra Pradesh,2007.0,general
Andhra Pradesh,2007.0,general
Andhra Pradesh,2007.0,general
Andhra Pradesh,2008.0,general
Andhra Pradesh,2008.0,general
Andhra Pradesh,2008.0,general
Andhra Pradesh,2008.0,general
Andhra Pradesh,2008.0,general
Andhra Pradesh,2008.0,general
Andhra Pradesh,2008.0,general
Andhra Pradesh,2008.0,general
Andhra Pradesh,2008.0,general
Andhra Pradesh,2008.0,general
Andhra Pradesh,2008.0,general
Andhra Pradesh,2008.0,general
Andhra Pradesh,2008.0,general
Andhra Pradesh,2008.0,general
Andhra Pradesh,2009.0,general
Andhra Pradesh,2009.0,general
Andhra Pradesh,2009.0,general
Andhra Pradesh,2009.0,general
Andhra Pradesh,2009.0,general
Andhra Pradesh,2009.0,general
Andhra Pradesh,2009.0,general
Andhra Pradesh,2009.0,general
Andhra Pradesh,2009.0,general
Andhra Pradesh,2009.0,general
Andhra Pradesh,2009.0,general
Andhra Pradesh,2009.0,general
Andhra Pradesh,2009.0,general
Andhra Pradesh,2009.0,general
Andhra Pradesh,2010.0,general
Andhra Pradesh,2010.0,general
Andhra Pradesh,2010.0,general
Andhra Pradesh,2010.0,general
Andhra Pradesh,2010.0,general
Andhra Pradesh,2010.0,general
Andhra Pradesh,2010.0,general
Andhra Pradesh,2010.0,general
Andhra Pradesh,2010.0,general
Andhra Pradesh,2010.0,general
Andhra Pradesh,2010.0,general
Andhra Pradesh,2010.0,general
Andhra Pradesh,2010.0,general
Andhra Pradesh,2010.0,general
Andhra Pradesh,2011.0,general
Andhra Pradesh,2011.0,general
Andhra Pradesh,2011.0,general
Andhra Pradesh,2011.0,general
Andhra Pradesh,2011.0,general
Andhra Pradesh,2011.0,general
Andhra Pradesh,2011.0,general
Andhra Pradesh,2011.0,general
Andhra Pradesh,2011.0,general
Andhra Pradesh,2011.0,general
Andhra Pradesh,2011.0,general
Andhra Pradesh,2011.0,general
Andhra Pradesh,2011.0,general
Andhra Pradesh,2011.0,general
Andhra Pradesh,2012.0,general
Andhra Pradesh,2012.0,general
Andhra Pradesh,2012.0,general
Andhra Pradesh,2012.0,general
Andhra Pradesh,2012.0,general
Andhra Pradesh,2012.0,general
Andhra Pradesh,2012.0,general
Andhra Pradesh,2012.0,general
Andhra Pradesh,2012.0,general
Andhra Pradesh,2012.0,general
Andhra Pradesh,2012.0,general
Andhra Pradesh,2012.0,general
Andhra Pradesh,2012.0,general
Andhra Pradesh,2012.0,general
Arunachal Pradesh,2001.0,general
Arunachal Pradesh,2001.0,general
Arunachal Pradesh,2001.0,general
Arunachal Pradesh,2001.0,general
Arunachal Pradesh,2001.0,general
Arunachal Pradesh,2001.0,general
Arunachal Pradesh,2001.0,general
Arunachal Pradesh,2001.0,general
Arunachal Pradesh,2001.0,general
Arunachal Pradesh,2001.0,general
Arunachal Pradesh,2001.0,general
Arunachal Pradesh,2001.0,general
Arunachal Pradesh,2001.0,general
Arunachal Pradesh,2001.0,general
Arunachal Pradesh,2002.0,general
Arunachal Pradesh,2002.0,general
Arunachal Pradesh,2002.0,general
Arunachal Pradesh,2002.0,general
Arunachal Pradesh,2002.0,general
Arunachal Pradesh,2002.0,general
Arunachal Pradesh,2002.0,general
Arunachal Pradesh,2002.0,general
Arunachal Pradesh,2002.0,general
Arunachal Pradesh,2002.0,general
Arunachal Pradesh,2002.0,general
Arunachal Pradesh,2002.0,general
Arunachal Pradesh,2002.0,general
Arunachal Pradesh,2002.0,general
Arunachal Pradesh,2003.0,general
Arunachal Pradesh,2003.0,general
Arunachal Pradesh,2003.0,general
Arunachal Pradesh,2003.0,general
Arunachal Pradesh,2003.0,general
Arunachal Pradesh,2003.0,general
Arunachal Pradesh,2003.0,general
Arunachal Pradesh,2003.0,general
Arunachal Pradesh,2003.0,general
Arunachal Pradesh,2003.0,general
Arunachal Pradesh,2003.0,general
Arunachal Pradesh,2003.0,general
Arunachal Pradesh,2003.0,general
Arunachal Pradesh,2003.0,general
Arunachal Pradesh,2004.0,general
Arunachal Pradesh,2004.0,general
Arunachal Pradesh,2004.0,general
Arunachal Pradesh,2004.0,general
Arunachal Pradesh,2004.0,general
Arunachal Pradesh,2004.0,general
Arunachal Pradesh,2004.0,general
Arunachal Pradesh,2004.0,general
Arunachal Pradesh,2004.0,general
Arunachal Pradesh,2004.0,general
Arunachal Pradesh,2004.0,general
Arunachal Pradesh,2004.0,general
Arunachal Pradesh,2004.0,general
Arunachal Pradesh,2004.0,general
Arunachal Pradesh,2005.0,general
